,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
86,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,19,True,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000000,2021-03-12 11:47:30.000000,2021-03-12 11:47:30.000000,56.0,28.0,69.0,396.0,507.0,,,,82689.0,,1.0,1.0,22.0,,,,,,2.0,,,,,,@jupyterlab/geojson-extension,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/geojson-extension,82689.0,,,,,,,,,
87,jupyter-console,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,19,False,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,2015-04-09 06:58:55.000000,2021-03-24 00:04:48.000000,2021-03-24 00:04:45.000000,114.0,45.0,78.0,161.0,560.0,,,,6866672.0,,,,54.0,https://pypi.org/project/jupyter-console,6866672.0,,,,3.0,,,,,,,,,,,,,,,,,,
88,itables,Interactive Tables in Jupyter.,https://github.com/mwouts/itables,,widgets,19,True,mwouts/itables,itables,,https://github.com/mwouts/itables,2019-04-15 22:09:44.000000,2021-02-04 23:19:55.000000,2021-02-04 23:19:48.000000,15.0,9.0,7.0,159.0,85.0,2020-12-14 21:50:21.000000,0.3.0,,922.0,5.0,45.0,45.0,3.0,https://pypi.org/project/itables,922.0,,,,2.0,,,,,,,MIT,,,,,,,,,,,
89,BatchSpawner,Custom Spawner for Jupyterhub to start servers in batch scheduled systems.,https://github.com/jupyterhub/batchspawner,,hub-spawners,19,True,jupyterhub/batchspawner,batchspawner,,https://github.com/jupyterhub/batchspawner,2015-10-27 03:53:10.000000,2021-03-09 21:57:55.000000,2021-01-29 11:05:19.000000,87.0,34.0,68.0,115.0,313.0,2020-11-04 17:40:35.000000,1.0.1,,183.0,7.0,7.0,7.0,38.0,https://pypi.org/project/batchspawner,183.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
90,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,19,True,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2021-02-19 11:21:03.000000,2021-02-19 11:21:03.000000,38.0,31.0,67.0,106.0,335.0,2020-09-21 17:37:11.000000,0.3.2,,22203.0,3.0,,,22.0,https://pypi.org/project/jupyter_sphinx,22203.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
91,BinderHub,"Run your code in the cloud, with technology so advanced, it feels like magic!.",https://github.com/jupyterhub/binderhub,,notebook-sharing,18,True,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,2017-04-26 00:28:26.000000,2021-03-25 17:47:53.000000,2021-03-25 17:47:53.000000,268.0,240.0,330.0,1847.0,2286.0,,,,,1.0,5.0,5.0,71.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,binderhub,,,,
92,almond,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,18,True,almond-sh/almond,,,https://github.com/almond-sh/almond,2015-03-10 22:48:50.000000,2021-03-25 17:09:42.000000,2021-03-19 09:15:47.000000,192.0,91.0,183.0,1360.0,924.0,,,1066.0,130.0,36.0,,,33.0,,,,,,2.0,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2021-03-19 10:01:05.086383,6.0,6968.0,,BSD-3-Clause,,,,,,,,,,,
93,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,18,True,abhishekkrthakur/colabcode,colabcode,,https://github.com/abhishekkrthakur/colabcode,2020-09-09 10:06:26.000000,2021-02-04 17:50:01.000000,2021-02-03 19:10:17.000000,148.0,23.0,20.0,1252.0,41.0,,,,4992.0,,17.0,17.0,7.0,https://pypi.org/project/colabcode,4992.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
94,gmaps,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,18,False,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45.000000,140.0,61.0,135.0,706.0,1380.0,2016-01-02 19:06:03.000000,0.2,,10706.0,20.0,1.0,1.0,16.0,https://pypi.org/project/gmaps,3597.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940000,213663.0,3.0,,,,,,jupyter-gmaps,BSD-3-Clause,https://www.npmjs.com/package/jupyter-gmaps,2465.0,,,,,,,,,
95,Apache Toree,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,18,True,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000000,2020-09-28 04:37:49.000000,2020-08-23 17:51:13.000000,214.0,,,664.0,1128.0,,,,6155.0,,,,101.0,https://pypi.org/project/toree,6155.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
